,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
594,462,2023-02-06 16:21:11.419389+00:00,,t,"T1L, MN",MN,72834674686355627,648518346504092878,[24001 91338  1555]
595,473,2023-02-06 16:21:11.429381+00:00,,t,"T1L, MN",MN,73045644084058320,648518346519022303,[29187 87482  2795]
596,406,2023-02-06 16:21:11.369796+00:00,,t,fragment,fragment,72835225180524116,648518346494231543,[ 23887 107231   3034]
597,464,2023-02-06 16:21:11.421228+00:00,,t,"T1L, MN",MN,72904906528605626,648518346479239887,[25040 87696  2626]
598,456,2023-02-06 16:21:11.413938+00:00,,t,"T1L, MN",MN,72764168906128075,648518346486971900,[20586 86716  2440]
599,460,2023-02-06 16:21:11.417465+00:00,,t,"T1L, MN",MN,72834537717220975,648518346494476935,[23021 86342  2506]
600,461,2023-02-06 16:21:11.418496+00:00,,t,"T1L, MN",MN,72834537381797533,648518346483445438,[23064 87192  1876]
601,192,2023-02-06 16:21:11.165083+00:00,,t,"T1L, intersegmental",19A,72413080629489945,648518346465091957,[ 11696 110312   1508]
602,474,2023-02-06 16:21:11.430436+00:00,,t,"T1L, MN",MN,73045644016998043,648518346477919895,[29198 86581  2634]
603,468,2023-02-06 16:21:11.424941+00:00,,t,"T1L, MN",MN,72904974979576714,648518346503310971,[26272 89248  2099]
604,470,2023-02-06 16:21:11.426615+00:00,,t,"T1L, MN",MN,72975274870169552,648518346514458155,[27680 87720  1905]
605,478,2023-02-06 16:21:11.434233+00:00,,t,"T1L, sensory",sensory,72553612832102002,648518346504315944,[ 15893 102961   3209]
606,459,2023-02-06 16:21:11.416489+00:00,,t,"T1L, MN",MN,72764237289721501,648518346504315944,[22264 89998  1676]
607,472,2023-02-06 16:21:11.428312+00:00,,t,"T1L, MN",MN,73045643815642075,648518346517437482,[29080 87520  2246]
608,476,2023-02-06 16:21:11.432232+00:00,,t,"T1L, MN",MN,73045712132403395,648518346491659326,[30304 89032  1429]
609,409,2023-02-06 16:21:11.372226+00:00,,t,fragment,fragment,72905387564752389,648518346484746829,[ 25518 100707   2604]
610,458,2023-02-06 16:21:11.415634+00:00,,t,"T1L, MN",MN,72764237826748104,648518346496932836,[22012 88216  2724]
611,453,2023-02-06 16:21:11.411375+00:00,,t,"T1L, MN",MN,72553200246751248,648518346496059082,[16252 91208  2668]
