,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
2768,23385540,2022-11-17 14:28:59.843347+00:00,,t,39,72694419039835254,648518346501581144,72694419039832897,648518346476657526,[ 19315 106323   3157],[ 19321 106355   3158]
2769,2581447,2022-11-17 14:28:59.843347+00:00,,t,37,72483450179133036,648518346501581144,72483450179138953,648518346481857725,[ 13811 109355   3044],[ 13837 109361   3045]
2770,9108687,2022-11-17 14:28:59.843347+00:00,,t,46,72553818923408254,648518346501581144,72553818923446454,648518346496729980,[ 15091 109075   3069],[ 15059 109067   3070]
2771,9108679,2022-11-17 14:28:59.843347+00:00,,t,32,72553818923408254,648518346501581144,72553818923418157,648518346494933170,[ 15083 109075   3067],[ 15049 109071   3067]
2772,9108913,2022-11-17 14:28:59.843347+00:00,,t,36,72553818923412696,648518346501581144,72553818923412653,648518346481857725,[ 15253 108849   3063],[ 15255 108819   3063]
2773,9108924,2022-11-17 14:28:59.843347+00:00,,t,36,72553818923555335,648518346501581144,72553818923478366,648518346494933170,[ 15281 108971   3077],[ 15267 108943   3077]
2774,9108837,2022-11-17 14:28:59.843347+00:00,,t,42,72553818923529940,648518346501581144,72553818923557635,648518346477034696,[ 15209 109145   3078],[ 15191 109179   3080]
2775,23385582,2022-11-17 14:28:59.843347+00:00,,t,32,72694419039810256,648518346501581144,72694419039818922,648518346486753761,[ 19409 106247   3157],[ 19441 106245   3158]
2776,9108838,2022-11-17 14:28:59.843347+00:00,,t,15,72553818923459818,648518346501581144,72553818923530524,648518346501288024,[ 15209 109149   3077],[ 15187 109185   3078]
2777,9108887,2022-11-17 14:28:59.843347+00:00,,t,28,72553818923422957,648518346501581144,72553818923446257,648518346514448583,[ 15227 108891   3065],[ 15229 108883   3068]
2778,20263063,2022-11-17 14:28:59.843347+00:00,,t,18,72553681618486966,648518346501581144,72553681618495977,648518346514448583,[ 16245 104579   3253],[ 16245 104551   3255]
2779,23385584,2022-11-17 14:28:59.843347+00:00,,t,40,72694419039810256,648518346501581144,72694419039825638,648518346486753761,[ 19419 106191   3155],[ 19449 106183   3157]
2781,20552879,2022-11-17 14:28:59.843347+00:00,,t,21,72342712489472169,648518346497880310,72342712489479491,648518346480666625,[  9113 110067   2645],[  9133 110077   2647]
2783,24285501,2022-11-17 14:28:59.843347+00:00,,t,45,72342781208902759,648518346479847574,72342781208907353,648518346481856445,[  9793 110633   2633],[  9797 110597   2635]
2784,24285484,2022-11-17 14:28:59.843347+00:00,,t,21,72342781208843227,648518346489054813,72342781208829907,648518346494933170,[  9737 110617   2598],[  9767 110631   2598]
2785,24285571,2022-11-17 14:28:59.843347+00:00,,t,30,72342781208974068,648518346501288024,72342781208969475,648518346481856445,[  9897 110737   2662],[  9869 110725   2662]
2786,24285524,2022-11-17 14:28:59.843347+00:00,,t,16,72342781208976572,648518346467364359,72342781208958713,648518346494933170,[  9781 110835   2654],[  9809 110863   2654]
2787,24285187,2022-11-17 14:28:59.843347+00:00,,t,48,72342712489263501,648518346501581144,72342781208680929,648518346494071307,[  9355 110563   2574],[  9365 110597   2574]
2788,24285183,2022-11-17 14:28:59.843347+00:00,,t,36,72342781208784323,648518346489054813,72342781208763396,648518346494933170,[  9337 110789   2581],[  9361 110771   2580]
2789,24285173,2022-11-17 14:28:59.843347+00:00,,t,28,72342781208784323,648518346489054813,72342781208746553,648518346494071307,[  9331 110811   2579],[  9351 110799   2578]
2790,24285193,2022-11-17 14:28:59.843347+00:00,,t,46,72342781208784323,648518346489054813,72342781208791681,648518346477034696,[  9351 110781   2582],[  9377 110761   2583]
2791,24285238,2022-11-17 14:28:59.843347+00:00,,t,27,72342712489378646,648518346489054813,72342781208861209,648518346477034696,[  9485 110581   2611],[  9461 110605   2613]
2794,24285382,2022-11-17 14:28:59.843347+00:00,,t,27,72342781208787637,648518346501288024,72342781208791543,648518346486753761,[  9667 110603   2583],[  9637 110621   2584]
