,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
24963,7464061,2022-11-17 14:28:59.843347+00:00,,t,58,73539737323129385,648518346518565462,73539737323149720,648518346514235435,[ 43579 132725   3137],[ 43551 132713   3139]
24967,7463781,2022-11-17 14:28:59.843347+00:00,,t,41,73539737323226427,648518346488045079,73539737323223775,648518346473084516,[ 43057 132275   3168],[ 43029 132251   3168]
24971,18185088,2022-11-17 14:28:59.843347+00:00,,t,33,73046331346070710,648518346486545841,73046400065562878,648518346501545571,[ 29369 108521   2926],[ 29367 108559   2926]
24972,7463799,2022-11-17 14:28:59.843347+00:00,,t,47,73539737323206527,648518346475974370,73539737323198966,648518346473084516,[ 43017 132479   3161],[ 43053 132469   3162]
24973,7463808,2022-11-17 14:28:59.843347+00:00,,t,34,73539737323237432,648518346475974370,73539737323290805,648518346473084516,[ 43061 132477   3197],[ 43071 132443   3198]
24974,7463811,2022-11-17 14:28:59.843347+00:00,,t,29,73539737323295513,648518346475974370,73539737323570765,648518346489569132,[ 43117 133041   3208],[ 43075 133037   3208]
24975,7464073,2022-11-17 14:28:59.843347+00:00,,t,59,73539737323118871,648518346518565462,73539737323149720,648518346514235435,[ 43615 132735   3139],[ 43591 132723   3141]
24979,7463826,2022-11-17 14:28:59.843347+00:00,,t,40,73539737323290897,648518346475974370,73539737323299886,648518346481078874,[ 43083 132487   3197],[ 43107 132469   3198]
24982,7464076,2022-11-17 14:28:59.843347+00:00,,t,78,73539737323118871,648518346518565462,73539737323124086,648518346465071989,[ 43585 132683   3135],[ 43583 132647   3135]
24983,7464091,2022-11-17 14:28:59.843347+00:00,,t,36,73539737323139946,648518346518565462,73539737323149720,648518346514235435,[ 43655 132745   3141],[ 43623 132741   3143]
24985,7464078,2022-11-17 14:28:59.843347+00:00,,t,57,73539737323118871,648518346518565462,73539737323144616,648518346489007453,[ 43605 132709   3138],[ 43589 132681   3139]
24986,18184744,2022-11-17 14:28:59.843347+00:00,,t,30,73046400065470234,648518346531363354,73046400065480299,648518346478791252,[ 28775 109231   2888],[ 28759 109225   2891]
24993,18184714,2022-11-17 14:28:59.843347+00:00,,t,41,73046400065470234,648518346531363354,73046400065462486,648518346489569132,[ 28767 109213   2887],[ 28727 109205   2887]
24998,7463836,2022-11-17 14:28:59.843347+00:00,,t,58,73539737323237432,648518346475974370,73539737323332319,648518346483323812,[ 43107 132491   3202],[ 43129 132467   3203]
24999,7463796,2022-11-17 14:28:59.843347+00:00,,t,18,73539737323226427,648518346488045079,73539737323221145,648518346514235435,[ 43057 132271   3170],[ 43049 132233   3171]
25001,7463830,2022-11-17 14:28:59.843347+00:00,,t,29,73539737323221261,648518346488045079,73539737323196420,648518346489007453,[ 43125 132427   3161],[ 43109 132465   3162]
25003,7463809,2022-11-17 14:28:59.843347+00:00,,t,35,73539737323187056,648518346488045079,73539737323198966,648518346473084516,[ 43107 132417   3162],[ 43073 132435   3162]
25006,18184843,2022-11-17 14:28:59.843347+00:00,,t,47,73046400065519245,648518346531363354,73046400065531389,648518346482497172,[ 28901 109325   2911],[ 28887 109351   2911]
25007,18184848,2022-11-17 14:28:59.843347+00:00,,t,23,73046400065457565,648518346499840723,73046400065477547,648518346480843521,[ 28875 108943   2885],[ 28891 108917   2886]
25008,18184767,2022-11-17 14:28:59.843347+00:00,,t,25,73046400065464996,648518346531363354,73046400065495671,648518346492697531,[ 28793 109233   2889],[ 28793 109233   2892]
25015,7463868,2022-11-17 14:28:59.843347+00:00,,t,34,73539737323240068,648518346488045079,73539737323266799,648518346481078874,[ 43151 132443   3182],[ 43171 132429   3183]
25017,7463874,2022-11-17 14:28:59.843347+00:00,,t,46,73539737323242345,648518346488045079,73539737323242290,648518346514235435,[ 43157 132411   3179],[ 43177 132401   3180]
25018,7463934,2022-11-17 14:28:59.843347+00:00,,t,33,73539737323372640,648518346475974370,73539737323518664,648518346465071989,[ 43251 133079   3207],[ 43283 133115   3208]
25020,7463823,2022-11-17 14:28:59.843347+00:00,,t,46,73539737323221261,648518346488045079,73539737323201514,648518346483323812,[ 43125 132433   3163],[ 43101 132469   3164]
25022,18184763,2022-11-17 14:28:59.843347+00:00,,t,25,73046400065464996,648518346531363354,73046400065480260,648518346515315271,[ 28789 109215   2888],[ 28789 109191   2890]
25023,18184811,2022-11-17 14:28:59.843347+00:00,,t,39,73046400065420798,648518346531363354,73046400065437852,648518346515315271,[ 28861 108987   2872],[ 28853 108959   2872]
